	Ceftazidime	Pip.Tazo	Gentamicin	Imipenem	Amikacin	Amp.Sulbactam	Trimeth.Sulfa	Meropenem	Ciprofloxacin	Cefepime	Doripenem	Polymixin_B	Tigecycline	Tobramycin	Tetracycline
SAMN02570324 - SRR1103726	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570325 - SRR1103727	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570434 - SRR1103766	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570435 - SRR1103767	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570436 - SRR1103768	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570436 - SRR1103769	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570426 - SRR1103758	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570427 - SRR1103759	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570433 - SRR1103765	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570430 - SRR1103762	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570431 - SRR1103763	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570432 - SRR1103764	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02570424 - SRR1103756	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02614550 - SRR1151962	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02614555 - SRR1151996	6	6	7	7	7	9	6	7	6	11	7	14	14	-1	-1
SAMN02614557 - SRR1152002	6	6	7	7	7	9	6	7	6	11	7	14	14	-1	-1
SAMN02614554 - SRR1151987	6	6	7	7	7	9	6	7	6	11	7	14	14	-1	-1
SAMN02614552 - SRR1151972	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02614553 - SRR1151981	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02614549 - SRR1151953	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02644678 - SRR1171100	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02644674 - SRR1171096	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02614551 - SRR1151970	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02614551 - SRR1151971	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02644677 - SRR1171099	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02644673 - SRR1171095	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02644675 - SRR1171097	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02644676 - SRR1171098	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02644691 - SRR1171112	6	11	7	15	24	20	6	10	6	7	7	15	17	-1	-1
SAMN02644692 - SRR1171113	6	11	7	15	24	20	6	10	6	7	7	15	17	-1	-1
SAMN02644690 - SRR1171111	6	10	20	7	25	15	6	6	6	15	6	15	20	-1	-1
SAMN02644689 - SRR1171110	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02614527 - SRR1151807	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614527 - SRR1151808	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614528 - SRR1151813	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614547 - SRR1151942	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614548 - SRR1151951	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02614548 - SRR1151952	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02614514 - SRR1151595	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614514 - SRR1151596	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614540 - SRR1151895	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614541 - SRR1151901	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614542 - SRR1151909	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614543 - SRR1151914	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614544 - SRR1151915	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614545 - SRR1151920	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614546 - SRR1151937	6	6	8	6	7	6	6	-1	6	6	-1	16	16	23	-1
SAMN02614531 - SRR1151825	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614532 - SRR1151834	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614530 - SRR1151819	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614534 - SRR1151844	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614533 - SRR1151843	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02614529 - SRR1151818	6	6	6	6	8	6	6	-1	6	6	-1	16	16	22	-1
SAMN02644685 - SRR1171106	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644686 - SRR1171107	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644687 - SRR1171108	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644688 - SRR1171109	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644664 - SRR1171085	6	6	8	10	9	6	6	-1	6	6	-1	16	17	21	-1
SAMN02644665 - SRR1171086	6	6	8	10	9	6	6	-1	6	6	-1	16	17	21	-1
SAMN02644666 - SRR1171087	6	6	8	10	9	6	6	-1	6	6	-1	16	17	21	-1
SAMN02644667 - SRR1171088	6	6	8	10	9	6	6	-1	6	6	-1	16	17	21	-1
SAMN02644668 - SRR1171089	6	6	8	10	9	6	6	-1	6	6	-1	16	17	21	-1
SAMN02644669 - SRR1171090	6	6	8	10	9	6	6	-1	6	6	-1	16	17	21	-1
SAMN02644679 - SRR1171101	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644680 - SRR1171102	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644682 - SRR1171103	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644683 - SRR1171104	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02644684 - SRR1171105	6	8	24	8	26	13	6	6	6	12	7	12	17	-1	-1
SAMN02614556 - SRR1152001	6	6	7	7	7	9	6	7	6	11	7	14	14	-1	-1
SAMN02644708 - SRR1171128	6	8	11	7	20	11	6	6	6	12	6	14	12	-1	-1
SAMN02644706 - SRR1171126	6	6	9	10	9	6	6	-1	6	6	-1	13	17	20	-1
SAMN02644705 - SRR1171125	6	6	9	10	9	6	6	-1	6	6	-1	13	17	20	-1
SAMN02644711 - SRR1171131	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
